,3.5,4.5,5.5,6.5
904,251,254,253,253
905,251,254,253,253
906,251,254,253,253
907,251,254,253,253
908,251,254,253,253
909,251,254,253,253
910,251,254,253,253
911,251,254,253,253
912,251,253,253,253
913,251,253,253,253
914,250,253,253,253
915,250,253,253,253
916,250,253,253,253
917,250,253,253,253
918,251,253,253,253
919,251,253,253,253
920,250,253,253,253
921,250,253,253,253
922,250,253,253,253
923,250,253,253,253
924,250,253,253,253
925,251,253,253,253
926,251,253,253,253
927,251,253,253,253
928,252,253,253,253
929,252,253,253,253
930,252,253,253,253
931,252,253,253,253
932,252,253,253,253
933,252,253,253,253
934,252,253,253,253
935,252,253,253,253
936,251,253,253,253
937,251,253,253,253
938,251,253,253,253
939,251,253,253,253
940,251,253,253,253
941,251,253,253,253
942,251,253,253,253
943,251,253,253,253
944,251,253,253,253
945,251,253,253,253
946,251,253,253,253
947,251,253,253,253
948,251,253,253,253
949,251,253,253,253
950,251,253,253,253
951,253,253,253,253
952,253,253,253,253
953,253,253,253,253
954,254,253,253,253
955,253,253,253,253
956,254,253,253,253
957,253,253,253,253
958,254,253,253,253
959,253,253,253,253
960,254,253,253,253
961,253,253,253,253
962,254,253,253,253
963,253,253,253,253
964,254,253,253,253
965,253,253,253,253
966,254,253,253,253
967,253,253,253,253
968,252,253,253,253
969,250,253,253,253
970,250,253,253,253
971,250,253,253,253
972,250,253,253,253
973,250,253,253,253
974,250,253,253,253
975,250,253,253,253
976,251,253,253,253
977,251,253,253,253
978,251,253,253,253
979,251,253,253,253
980,251,253,253,253
981,251,253,253,253
982,251,253,253,253
983,253,253,253,253
984,253,253,253,253
985,253,253,253,253
986,253,253,253,253
987,253,253,253,253
988,253,253,253,253
989,253,253,253,253
990,253,253,253,253
991,253,253,253,253
992,255,253,253,253
993,255,253,253,253
994,255,253,253,253
995,255,253,253,253
996,255,253,253,253
997,255,253,253,253
998,255,253,253,253
999,255,253,253,253
1000,255,253,253,253
1001,255,253,253,253
1002,255,253,253,253
1003,255,253,253,253
1004,255,248,253,253
1005,255,249,253,253
1006,255,250,253,253
1007,255,251,253,253
1008,255,252,253,253
1009,255,252,253,253
1010,255,252,253,253
1011,255,252,253,253
1012,255,253,253,253
1013,255,253,253,253
1014,255,253,253,253
1015,255,253,253,253
1016,255,254,253,253
1017,255,254,253,253
1018,254,254,253,253
1019,254,254,253,253
1020,254,251,253,253
1021,254,251,253,253
1022,254,251,253,253
1023,254,251,253,253
1024,253,251,253,253
1025,253,253,253,253
1026,253,254,253,253
1027,253,254,253,253
1028,253,252,253,253
1029,253,252,253,253
1030,253,252,253,253
1031,253,252,253,253
1032,255,252,253,253
1033,255,252,253,253
1034,255,252,253,253
1035,255,252,253,253
1036,255,253,253,253
1037,255,253,253,253
1038,255,253,253,253
1039,255,252,253,253
1040,254,252,253,253
1041,254,252,253,253
1042,254,252,253,253
1043,254,252,253,253
1044,254,253,253,253
1045,254,253,253,253
1046,254,253,253,253
1047,254,253,253,253
1048,254,253,253,253
1049,254,253,253,253
1050,254,253,253,253
1051,254,253,253,253
1052,253,252,253,253
1053,253,252,253,253
1054,253,252,253,253
1055,253,252,253,253
1056,254,252,253,253
1057,254,252,253,253
1058,254,252,253,253
1059,254,252,253,253
1060,254,253,253,253
1061,254,253,253,253
1062,254,253,253,253
1063,254,252,253,253
1064,252,251,253,253
1065,252,250,253,253
1066,252,250,253,253
1067,252,250,253,253
1068,252,250,253,253
1069,252,250,253,253
1070,252,250,253,253
1071,252,250,253,253
1072,252,250,253,253
1073,252,250,253,253
1074,252,250,253,253
1075,252,250,253,253
1076,252,251,253,253
1077,252,251,253,253
1078,252,251,253,253
1079,252,251,253,253
1080,254,251,253,253
1081,254,251,253,253
1082,254,251,253,253
1083,253,251,253,253
1084,253,251,253,253
1085,254,251,253,253
1086,254,251,253,253
1087,254,251,253,253
1088,253,251,253,253
1089,253,251,253,253
1090,253,251,253,253
1091,252,251,253,253
1092,252,254,253,253
